County,RegionType,StateName,Date,zhvi_single_family_homes_by_county,zhvi_condo_coop_homes_by_county,zhvi_5plus_homes_by_county,zhvi_4_homes_by_county,zhvi_3_homes_by_county,zhvi_2_homes_by_county,zhvi_1_homes_by_county,Year
GALVESTON COUNTY,County,TX,1999-09-30,124314.0,110294.0,247555.0,174035.0,113629.0,91597.0,77107.0,1999
MONTGOMERY COUNTY,County,TX,1999-09-30,158018.0,103595.0,336747.0,203553.0,129666.0,95107.0,66545.0,1999
TRINITY COUNTY,County,TX,1999-09-30,,,,,,,,1999
HARRIS COUNTY,County,TX,1999-09-30,113810.0,93551.0,235872.0,148358.0,98066.0,79221.0,91783.0,1999
FORT BEND COUNTY,County,TX,1999-09-30,162964.0,106465.0,282507.0,191044.0,112100.0,95776.0,112222.0,1999
HARRIS COUNTY,County,TX,1999-10-31,114186.0,93693.0,236622.0,148760.0,98409.0,79561.0,92026.0,1999
FORT BEND COUNTY,County,TX,1999-10-31,164070.0,107155.0,284326.0,192220.0,112818.0,96070.0,112295.0,1999
MONTGOMERY COUNTY,County,TX,1999-10-31,158398.0,103777.0,337631.0,204398.0,129965.0,95244.0,65954.0,1999
GALVESTON COUNTY,County,TX,1999-10-31,124973.0,111034.0,248371.0,174392.0,114295.0,92194.0,76961.0,1999
TRINITY COUNTY,County,TX,1999-10-31,,,,,,,,1999
HARRIS COUNTY,County,TX,1999-11-30,114611.0,93694.0,237566.0,149254.0,98805.0,79824.0,92007.0,1999
FORT BEND COUNTY,County,TX,1999-11-30,165132.0,107651.0,286293.0,193507.0,113513.0,96980.0,113028.0,1999
MONTGOMERY COUNTY,County,TX,1999-11-30,158824.0,104121.0,337701.0,205126.0,130376.0,95449.0,65610.0,1999
GALVESTON COUNTY,County,TX,1999-11-30,125707.0,111923.0,249732.0,174812.0,114947.0,92814.0,77144.0,1999
TRINITY COUNTY,County,TX,1999-11-30,,,,,,,,1999
TRINITY COUNTY,County,TX,1999-12-31,,,,,,,,1999
GALVESTON COUNTY,County,TX,1999-12-31,126401.0,112110.0,252110.0,175959.0,115587.0,93152.0,76888.0,1999
HARRIS COUNTY,County,TX,1999-12-31,115119.0,93810.0,238609.0,149877.0,99277.0,80082.0,91952.0,1999
FORT BEND COUNTY,County,TX,1999-12-31,166271.0,107954.0,287933.0,194791.0,114230.0,97884.0,114005.0,1999
MONTGOMERY COUNTY,County,TX,1999-12-31,159557.0,104606.0,338568.0,206177.0,131054.0,95806.0,65863.0,1999
HARRIS COUNTY,County,TX,2000-01-31,115589.0,93902.0,239708.0,150457.0,99730.0,80224.0,91799.0,2000
FORT BEND COUNTY,County,TX,2000-01-31,167204.0,107973.0,289148.0,195862.0,114795.0,99001.0,115820.0,2000
