City,RegionType,StateName,Date,list_price_data,sale_data,inventory_d2p_data,inventory_4s_data,Year,Month,MonthNumeric,DayOfTheWeek,DayOfTheWeekNumeric
"San Francisco, CA",Msa,CA,2020-03-31,925000.0,825000.0,20.0,6383.0,2020,Mar,3,Tuesday,2
"San Francisco, CA",Msa,CA,2020-12-31,988888.0,875000.0,34.0,6181.0,2020,Dec,12,Thursday,4
"San Francisco, CA",Msa,CA,2018-08-31,825000.0,800000.0,25.0,8198.0,2018,Aug,8,Friday,5
"San Francisco, CA",Msa,CA,2019-07-31,889000.0,802500.0,32.0,9290.0,2019,Jul,7,Wednesday,3
"San Francisco, CA",Msa,CA,2019-06-30,899900.0,850000.0,27.0,9553.0,2019,Jun,6,Sunday,0
"San Francisco, CA",Msa,CA,2019-08-31,869000.0,793500.0,32.0,8678.0,2019,Aug,8,Saturday,6
"San Francisco, CA",Msa,CA,2019-05-31,925000.0,850000.0,25.0,9676.0,2019,May,5,Friday,5
"San Francisco, CA",Msa,CA,2019-04-30,898000.0,843000.0,27.0,8809.0,2019,Apr,4,Tuesday,2
"San Francisco, CA",Msa,CA,2019-09-30,899000.0,780000.0,30.0,9550.0,2019,Sep,9,Monday,1
"San Francisco, CA",Msa,CA,2019-03-31,877777.0,800000.0,28.0,7984.0,2019,Mar,3,Sunday,0
"San Francisco, CA",Msa,CA,2019-02-28,825000.0,775000.0,31.0,6672.0,2019,Feb,2,Thursday,4
"San Francisco, CA",Msa,CA,2019-10-31,899000.0,826000.0,33.0,9373.0,2019,Oct,10,Thursday,4
"San Francisco, CA",Msa,CA,2021-01-31,980000.0,845000.0,,6181.0,2021,Jan,1,Sunday,0
"San Francisco, CA",Msa,CA,2019-11-30,889000.0,815000.0,38.0,7175.0,2019,Nov,11,Saturday,6
"San Francisco, CA",Msa,CA,2019-01-31,779950.0,720000.0,40.0,5702.0,2019,Jan,1,Thursday,4
"San Francisco, CA",Msa,CA,2018-12-31,793000.0,767000.0,42.0,5619.0,2018,Dec,12,Monday,1
"San Francisco, CA",Msa,CA,2019-12-31,848888.0,800000.0,47.0,4750.0,2019,Dec,12,Tuesday,2
"San Francisco, CA",Msa,CA,2020-11-30,998000.0,905000.0,26.0,8372.0,2020,Nov,11,Monday,1
"San Francisco, CA",Msa,CA,2018-11-30,815000.0,800000.0,35.0,7869.0,2018,Nov,11,Friday,5
"San Francisco, CA",Msa,CA,2020-01-31,849000.0,750000.0,40.0,4786.0,2020,Jan,1,Friday,5
"San Francisco, CA",Msa,CA,2018-10-31,849950.0,825000.0,29.0,9430.0,2018,Oct,10,Wednesday,3
"San Francisco, CA",Msa,CA,2018-09-30,849000.0,780000.0,26.0,9064.0,2018,Sep,9,Sunday,0
"San Francisco, CA",Msa,CA,2020-02-29,919000.0,761250.0,25.0,6074.0,2020,Feb,2,Saturday,6
"San Francisco, CA",Msa,CA,2021-02-28,985000.0,900000.0,,7087.0,2021,Feb,2,Sunday,0
"San Francisco, CA",Msa,CA,2020-09-30,999000.0,900000.0,24.0,9962.0,2020,Sep,9,Wednesday,3
"Seattle, WA",Msa,WA,2021-02-28,679000.0,565592.0,,6781.0,2021,Feb,2,Sunday,0
"Seattle, WA",Msa,WA,2021-01-31,665000.0,550000.0,,6842.0,2021,Jan,1,Sunday,0
"Seattle, WA",Msa,WA,2021-03-31,690000.0,620000.0,,8705.0,2021,Mar,3,Wednesday,3
"Seattle, WA",Msa,WA,2020-10-31,649950.0,560000.0,17.0,11169.0,2020,Oct,10,Saturday,6
"Seattle, WA",Msa,WA,2020-12-31,644950.0,543500.0,23.0,6417.0,2020,Dec,12,Thursday,4
"Seattle, WA",Msa,WA,2020-11-30,639999.0,559298.0,20.0,8552.0,2020,Nov,11,Monday,1
"Seattle, WA",Msa,WA,2019-07-31,634950.0,492000.0,27.0,14609.0,2019,Jul,7,Wednesday,3
"Seattle, WA",Msa,WA,2020-08-31,679000.0,555000.0,15.0,11837.0,2020,Aug,8,Monday,1
"Seattle, WA",Msa,WA,2018-12-31,560000.0,468000.0,53.0,9221.0,2018,Dec,12,Monday,1
"Seattle, WA",Msa,WA,2018-11-30,559950.0,469854.0,44.0,12190.0,2018,Nov,11,Friday,5
"Seattle, WA",Msa,WA,2018-10-31,570000.0,464835.0,37.0,14288.0,2018,Oct,10,Wednesday,3
"Seattle, WA",Msa,WA,2018-09-30,565000.0,465000.0,30.0,14758.0,2018,Sep,9,Sunday,0
